Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Tot_Expenses,Tot_Purchases,Age,Tot_children,Income
83,3,2,0,4,6,88,9,58,3,43482.0
27,1,6,7,4,3,421,18,71,0,62551.0
63,1,3,2,6,4,259,12,65,0,52332.0
46,1,3,4,7,1,1117,15,36,0,66951.0
84,3,2,1,3,5,89,9,67,2,26091.0
58,2,1,0,3,7,36,6,59,2,33456.0
78,2,2,0,3,8,57,7,42,1,28718.0
4,1,3,1,3,6,148,8,54,2,50447.0
17,2,2,1,3,5,93,8,65,2,53537.0
77,1,2,2,2,4,119,7,57,1,52074.0
56,1,11,8,8,5,1835,28,49,1,80427.0
79,1,9,10,5,4,1318,25,76,0,83837.0
90,2,2,0,3,7,45,7,54,2,38853.0
96,1,0,0,3,2,10,4,65,3,38285.0
81,1,4,1,4,5,191,10,48,1,51650.0
77,3,2,1,3,6,57,9,36,1,16248.0
21,1,6,4,13,2,1033,24,78,0,66835.0
16,1,1,1,3,6,66,6,40,1,30477.0
80,1,2,0,3,6,43,6,63,0,28249.0
45,1,1,1,2,9,50,5,41,1,25271.0
63,2,1,0,4,5,39,7,54,1,32303.0
34,2,7,1,8,5,608,18,58,1,61286.0
14,1,4,10,9,2,1581,24,48,0,74068.0
13,2,2,0,3,7,68,7,60,2,45759.0
52,1,1,1,2,6,80,5,46,1,24882.0
98,1,8,7,12,3,1282,28,35,0,66973.0
99,1,2,1,2,5,65,6,81,1,36640.0
93,2,3,0,3,8,91,8,36,1,38872.0
38,4,5,1,6,6,315,16,51,2,51148.0
24,2,1,1,2,8,31,6,47,2,31353.0
80,1,7,3,12,3,834,23,44,0,69661.0
82,1,4,6,6,2,1600,17,70,0,80067.0
20,1,5,6,5,2,1270,17,70,0,86718.0
81,6,5,1,3,8,263,15,51,2,46854.0
50,3,8,1,7,5,535,19,72,1,69142.0
60,1,4,4,9,1,1295,18,56,0,75922.0
63,3,11,6,9,6,1150,29,46,1,63693.0
54,0,7,9,10,4,1240,26,47,0,102160.0
72,2,1,0,3,7,38,6,59,2,40637.0
5,1,0,1,2,6,35,4,40,0,18890.0
88,1,1,0,3,9,53,5,36,1,29604.0
50,6,4,2,5,6,293,17,61,2,48721.0
99,1,2,0,3,6,65,6,58,1,44794.0
17,5,11,4,9,8,1804,29,70,1,64497.0
11,5,3,1,6,4,241,15,68,1,46097.0
18,1,4,6,9,1,1101,20,70,0,77972.0
70,8,5,1,5,8,264,19,56,2,44377.0
21,10,7,1,8,7,541,26,50,2,46014.0
66,1,3,4,9,1,1198,17,39,0,70951.0
79,6,8,1,5,8,482,20,47,1,41443.0
2,1,1,0,2,8,17,4,46,3,52195.0
81,1,8,10,6,3,1615,25,76,0,83790.0
24,2,4,1,5,7,285,12,70,1,44551.0
48,2,11,4,11,6,1135,28,44,1,69508.0
93,1,1,1,4,3,114,7,36,1,45204.0
56,1,3,5,7,1,1047,16,55,0,72460.0
3,2,6,3,11,3,714,22,54,2,77622.0
44,4,4,1,4,8,185,13,44,1,30732.0
38,5,9,6,12,6,1245,32,62,1,63887.0
46,4,3,1,4,8,189,12,46,1,42011.0
84,2,8,2,4,8,576,16,48,1,51369.0
27,3,2,2,11,8,1103,18,72,1,51537.0
72,1,3,5,8,2,1753,17,52,0,79930.0
66,1,1,0,2,8,17,4,38,1,34320.0
30,9,5,1,8,7,433,23,58,2,37070.0
2,1,6,3,4,7,1588,14,62,1,81975.0
65,1,1,0,2,8,22,4,53,1,38590.0
37,1,1,0,3,3,19,5,73,0,15033.0
89,3,7,8,11,5,1117,29,59,1,62745.0
49,2,2,0,4,6,69,8,49,1,22212.0
46,1,1,0,3,7,23,5,42,1,23661.0
32,1,5,2,11,3,605,19,66,1,79761.0
54,4,3,1,3,7,57,11,51,1,7500.0
23,1,1,0,2,4,22,4,81,1,60182.0
98,1,6,5,10,3,2088,22,56,0,73455.0
97,2,6,4,4,3,1009,16,66,1,64961.0
75,1,2,0,2,9,26,5,53,1,22804.0
8,1,3,9,9,2,1627,22,34,0,73687.0
37,7,11,5,8,7,1102,31,66,1,61074.0
31,2,1,0,3,6,17,6,60,2,31686.0
40,2,5,3,6,6,1690,16,52,1,80134.0
74,2,9,4,6,5,1390,21,71,1,75027.0
90,1,4,10,5,3,2126,20,36,0,67546.0
57,4,9,6,6,6,1531,25,55,1,65176.0
59,2,2,0,3,8,64,7,49,1,31160.0
52,2,1,0,3,6,26,6,39,1,29938.0
5,1,6,9,13,2,1112,29,50,0,102692.0
92,2,3,1,5,6,210,11,66,0,26490.0
77,5,4,6,11,8,1148,26,57,2,75702.0
35,2,1,0,3,6,33,6,50,1,30899.0
48,3,8,3,5,6,1101,19,63,1,63342.0
97,4,3,2,7,3,322,16,60,1,45989.0
95,4,2,0,4,5,44,10,60,2,18701.0
24,1,1,0,2,8,17,4,67,3,40737.0
60,2,1,1,2,7,31,6,45,1,15287.0
46,3,10,2,10,5,845,25,56,2,69674.0
85,4,4,1,6,5,275,15,54,1,44159.0
31,1,1,0,2,9,25,4,46,1,37717.0
9,6,5,2,4,8,275,17,72,2,43776.0
30,4,3,1,3,7,90,11,58,2,38179.0
47,1,3,7,8,1,1495,19,61,0,80124.0
70,4,3,2,2,7,184,11,54,2,38097.0
13,1,3,3,6,1,981,13,54,0,72940.0
11,2,2,2,2,6,67,8,54,1,22070.0
31,2,3,4,5,7,1635,14,71,0,69267.0
15,3,3,0,4,5,60,10,41,1,31788.0
2,2,4,2,4,5,231,12,49,1,61905.0
55,4,2,0,4,6,48,10,64,2,29315.0
38,3,2,0,4,7,99,9,61,2,33378.0
86,2,6,3,12,4,770,23,61,1,66313.0
56,2,7,4,10,5,957,23,68,0,60714.0
29,1,3,3,5,1,818,12,43,0,77882.0
30,1,3,5,8,1,925,17,38,0,69867.0
64,1,9,3,9,6,908,22,56,1,63841.0
46,3,3,0,4,7,102,10,43,1,24480.0
74,1,5,1,8,2,461,15,50,1,65640.0
18,2,2,0,3,5,37,7,49,2,44319.0
75,1,3,1,2,7,70,7,50,1,30631.0
17,1,6,3,13,3,930,23,72,0,75278.0
88,13,6,2,12,5,859,33,68,2,50898.0
19,1,5,11,5,3,1478,22,58,0,79946.0
62,3,7,1,5,8,390,16,75,0,35416.0
11,1,1,0,3,7,52,5,40,0,32414.0
74,3,3,1,3,7,137,10,55,1,38361.0
32,1,2,7,9,4,1919,19,44,0,82497.0
76,3,3,0,3,9,68,9,53,2,16626.0
6,1,0,0,3,6,25,4,59,2,29672.0
62,3,3,6,11,8,1374,23,72,1,55951.0
20,1,1,0,3,7,32,5,36,1,35388.0
43,1,3,0,3,8,100,7,38,1,42386.0
45,1,2,3,6,1,825,12,42,0,68627.0
34,5,8,3,12,5,916,28,59,1,57912.0
53,4,3,1,3,5,62,11,66,2,35246.0
44,1,9,2,9,6,728,21,68,1,58821.0
89,1,2,1,3,4,90,7,46,1,46377.0
43,3,5,1,4,8,273,13,36,1,39747.0
68,3,3,1,3,7,66,10,40,1,23976.0
44,1,6,7,9,2,1213,23,63,0,80950.0
64,1,3,0,3,9,107,7,58,0,27038.0
85,1,2,5,10,1,1157,18,77,0,77457.0
93,1,8,3,6,7,546,18,60,1,64100.0
12,1,4,2,4,4,241,11,32,0,42670.0
86,4,3,1,3,6,53,11,48,1,12571.0
28,2,2,0,3,7,37,7,57,3,22574.0
69,1,6,5,12,3,1611,24,35,0,52350.90044356826
42,1,6,6,10,3,1508,23,48,0,70893.0
13,6,3,1,6,4,235,16,58,2,54198.0
86,2,2,0,3,5,32,7,68,2,28839.0
59,2,3,0,3,7,102,8,52,2,40321.0
30,2,4,3,6,3,401,15,39,1,66503.0
33,2,1,0,3,5,28,6,73,2,30833.0
67,6,2,3,10,7,1052,21,54,3,52350.90044356826
23,3,3,3,12,2,680,21,53,1,64795.0
81,1,1,0,2,7,30,4,50,1,34421.0
6,1,1,0,2,7,20,4,59,2,47025.0
41,5,10,3,5,7,1307,23,63,1,64325.0
78,6,8,2,8,8,630,24,71,1,40464.0
49,1,4,8,5,3,1283,18,67,0,62187.0
39,3,2,0,4,8,65,9,48,1,14849.0
3,1,1,0,3,7,37,5,40,1,27255.0
37,1,1,0,3,4,38,5,74,3,54432.0
22,4,3,1,4,8,160,12,38,1,29999.0
79,1,1,0,2,8,23,4,41,1,24072.0
46,1,1,1,3,4,71,6,35,0,33996.0
82,2,9,3,5,5,1161,19,68,1,66334.0
10,1,1,1,2,7,59,5,53,1,35178.0
51,2,2,0,3,8,33,7,41,1,22010.0
38,1,4,5,12,3,946,22,64,2,62204.0
10,1,11,4,6,4,1442,22,56,0,75693.0
14,1,1,0,3,8,62,5,52,1,30675.0
18,1,7,6,8,3,1674,22,59,0,83003.0
36,1,4,6,4,1,1853,15,81,0,83532.0
95,1,4,5,11,3,1538,21,36,0,68655.0
11,1,2,1,4,6,139,8,38,0,41411.0
65,3,4,2,11,8,1182,20,55,1,55212.0
71,2,3,5,8,3,507,18,74,1,59292.0
13,1,1,0,2,8,18,4,51,1,27190.0
58,1,2,9,4,1,940,16,72,0,82623.0
65,2,1,0,3,6,42,6,59,2,44300.0
0,1,4,4,6,1,1190,15,54,0,84835.0
33,3,2,0,3,7,44,8,53,2,30372.0
90,1,1,0,2,6,16,4,48,1,33181.0
95,4,6,7,9,4,835,26,67,1,71113.0
93,2,8,4,8,4,1443,22,38,1,71952.0
38,3,4,6,5,3,1029,18,58,0,69759.0
18,1,3,4,10,1,1188,18,50,0,72099.0
57,5,11,3,5,6,1277,24,48,1,60000.0
45,2,2,0,3,7,49,7,46,2,38643.0
61,1,2,0,4,6,99,7,69,1,50737.0
6,1,3,3,8,1,1670,15,55,0,68462.0
65,1,5,3,5,2,900,14,81,0,65073.0
52,2,4,6,4,5,425,16,76,2,46681.0
87,1,4,7,10,2,2153,22,67,0,78618.0
38,3,6,2,10,4,636,21,55,1,62187.0
53,3,2,1,4,4,57,10,46,2,28442.0
67,7,6,3,6,7,494,22,57,2,51479.0
65,2,6,2,9,4,693,19,55,1,54803.0
64,1,4,10,11,2,1348,26,64,0,79530.0
82,2,2,0,3,7,51,7,48,1,31615.0
27,1,4,3,8,3,1932,16,62,0,72025.0
63,2,2,4,8,8,990,16,49,1,52614.0
66,1,1,0,3,6,30,5,40,1,35684.0
69,6,5,1,4,8,254,16,49,2,48178.0
52,1,1,1,2,4,29,5,54,1,29548.0
45,4,4,3,12,8,1371,23,58,1,63810.0
2,3,3,0,3,8,73,9,52,2,38578.0
86,4,3,2,2,8,120,11,49,2,46098.0
23,1,1,1,2,9,81,5,54,0,22585.0
13,1,1,0,3,8,37,5,35,1,30279.0
14,2,3,5,10,6,1377,20,63,1,66426.0
92,1,1,0,3,7,51,5,55,1,30822.0
38,1,1,0,2,8,17,4,55,2,33581.0
74,1,0,0,3,7,22,4,39,1,19986.0
14,3,4,1,6,7,324,14,70,0,27421.0
33,1,0,1,2,3,19,4,43,1,36143.0
32,3,1,2,2,5,41,8,53,1,10245.0
11,3,7,3,4,7,492,17,56,1,43795.0
78,4,4,5,13,2,1005,26,64,1,63381.0
56,1,2,1,3,6,114,7,75,1,38823.0
57,3,2,2,12,5,1173,19,56,2,83664.0
7,0,5,6,8,1,1738,19,45,0,90300.0
0,2,3,1,6,4,222,12,45,1,62499.0
66,1,5,4,6,2,1127,16,31,0,74293.0
86,1,4,1,4,6,209,10,78,0,51012.0
80,3,5,3,12,3,787,23,56,1,70777.0
56,1,4,9,10,2,1598,24,33,0,68682.0
18,4,3,1,4,8,186,12,53,2,43824.0
51,2,1,1,2,8,47,6,40,1,15345.0
71,1,1,0,3,7,27,5,37,1,23442.0
71,4,2,2,3,7,96,11,44,1,14515.0
80,4,2,1,3,6,64,10,68,2,31395.0
2,1,9,4,9,5,1040,23,59,0,75276.0
83,5,2,1,5,5,163,13,50,2,42373.0
29,1,5,1,4,7,343,11,64,0,30507.0
11,9,6,3,6,7,446,24,69,3,55521.0
55,1,1,0,3,6,41,5,59,2,48006.0
19,3,2,0,4,8,70,9,52,1,27213.0
1,3,5,1,5,6,272,14,53,2,65808.0
19,1,3,0,2,9,46,6,50,1,30351.0
28,3,7,1,8,7,490,19,61,2,50437.0
76,2,3,0,3,8,79,8,42,1,23616.0
50,4,4,3,6,4,915,17,48,1,53858.0
1,3,11,9,12,6,1485,35,69,1,66465.0
90,3,5,1,7,7,369,16,37,1,46923.0
83,2,5,4,8,3,1073,19,62,1,75072.0
73,1,3,5,10,1,1242,19,81,0,75865.0
24,3,2,1,3,5,78,9,49,1,19789.0
11,1,2,7,11,5,1378,21,30,0,80134.0
33,1,7,9,9,3,1474,26,43,0,91065.0
4,9,10,2,8,8,751,29,53,2,49505.0
14,2,2,0,3,7,48,7,51,1,37401.0
75,1,1,0,2,8,10,4,42,1,18492.0
26,1,3,4,8,1,1435,16,50,0,82584.0
77,0,7,10,5,2,2119,22,81,0,93027.0
8,1,1,0,2,8,20,4,71,3,48686.0
42,1,6,7,13,1,1795,27,38,0,92910.0
28,2,2,5,10,6,1188,19,35,1,75433.0
52,2,1,0,4,5,43,7,35,1,10404.0
1,2,5,5,12,3,1008,24,56,1,61314.0
1,1,2,4,9,4,1688,16,63,0,84865.0
42,5,8,1,7,8,684,21,35,1,42387.0
76,15,9,6,9,7,1082,39,57,2,67309.0
27,1,8,3,13,4,1068,25,60,1,75236.0
28,2,1,0,4,5,57,7,54,1,30015.0
49,1,1,0,3,5,46,5,68,1,50943.0
12,3,6,2,12,5,733,23,58,1,67272.0
14,2,9,1,5,8,467,17,75,1,51529.0
89,3,2,1,4,7,122,10,53,1,32011.0
96,2,2,0,3,8,36,7,38,1,7500.0
56,1,1,0,3,8,34,5,35,1,28691.0
72,2,2,1,5,4,156,10,76,1,56223.0
14,1,0,0,3,5,14,4,78,0,18100.0
99,1,1,0,3,8,34,5,50,0,20130.0
72,1,1,0,2,8,20,4,65,0,23295.0
92,2,5,0,4,8,192,11,52,1,42618.0
87,1,4,5,7,1,1379,17,60,0,81246.0
7,2,2,0,3,8,48,7,48,1,24027.0
91,2,3,2,9,3,428,16,71,1,55707.0
71,5,4,7,11,3,868,27,69,1,57959.0
24,3,8,9,7,7,1001,27,55,1,56796.0
17,1,2,0,4,5,59,7,53,1,36230.0
87,2,4,2,8,3,431,16,44,2,70829.0
21,3,9,5,10,7,971,27,48,1,65991.0
90,7,5,1,6,8,348,19,52,3,38988.0
44,1,7,7,9,4,2059,24,58,0,89572.0
71,4,4,1,5,6,265,14,40,1,42207.0
52,2,2,1,8,2,270,13,72,1,50300.0
78,1,5,7,6,3,1289,19,42,0,66664.0
2,4,2,2,8,7,893,16,60,1,60597.0
60,1,3,7,11,1,926,22,75,0,70165.0
25,2,3,1,3,6,135,9,66,1,50520.0
46,2,4,0,3,7,120,9,49,1,33183.0
83,1,2,8,9,1,1288,20,55,0,66582.0
17,1,5,6,5,2,1743,17,69,0,75261.0
13,1,1,0,2,8,15,4,54,1,31880.0
86,3,7,2,8,6,542,20,73,2,53790.0
92,3,7,3,12,7,890,25,53,1,49269.0
47,4,6,10,13,4,1388,33,49,1,61456.0
18,1,1,0,2,8,17,4,44,1,37406.0
81,7,8,6,9,6,906,30,43,1,56937.0
91,2,1,0,3,7,44,6,46,2,38415.0
58,1,1,1,2,5,25,5,36,1,20518.0
40,4,8,3,11,5,973,26,68,1,62503.0
67,2,1,0,3,3,31,6,52,2,41644.0
19,1,7,1,8,5,518,17,47,1,55842.0
93,4,6,2,7,5,530,19,52,1,62010.0
41,7,7,3,4,8,506,21,47,1,41124.0
60,1,2,1,2,7,70,6,51,1,38961.0
54,1,2,0,3,6,54,6,52,1,37760.0
26,2,6,2,2,9,296,12,50,1,32233.0
30,4,4,2,5,5,266,15,49,1,43057.0
93,1,5,9,4,3,747,19,64,0,83151.0
35,1,5,10,13,3,895,29,60,0,78825.0
4,2,3,5,7,7,1053,17,48,1,65104.0
92,2,7,2,10,6,735,21,50,1,60093.0
24,1,1,0,3,7,20,5,55,1,14045.0
96,1,4,1,4,8,205,10,72,0,28457.0
11,2,2,5,12,6,2092,21,66,1,78952.0
99,2,6,1,5,8,309,14,48,1,46310.0
72,1,3,5,13,6,1722,22,69,0,76005.0
77,4,2,6,3,8,900,15,60,1,58308.0
85,1,9,4,6,7,682,20,80,0,55614.0
88,3,5,3,11,5,663,22,62,1,59432.0
22,1,2,0,3,3,43,6,46,1,55563.0
83,1,4,9,4,6,1816,18,53,1,78642.0
63,3,6,7,11,3,976,27,75,1,67911.0
9,1,4,3,13,2,746,21,80,0,65275.0
92,2,1,1,2,8,64,6,74,2,27203.0
2,1,1,0,3,5,32,5,63,1,48330.0
6,1,4,1,3,8,263,9,34,0,24279.0
66,2,4,3,12,8,1445,21,39,1,64355.0
29,2,10,4,12,6,1210,28,71,0,53653.0
77,1,5,10,8,3,945,24,48,1,65665.0
77,1,3,7,11,1,1157,22,35,0,81217.0
71,1,2,1,4,7,137,8,32,0,34935.0
49,6,5,2,12,5,730,25,65,1,61250.0
97,3,4,2,3,7,216,12,43,1,39665.0
6,1,6,4,12,3,943,23,45,1,60152.0
93,3,6,2,5,7,347,16,60,2,48920.0
78,1,5,6,7,1,1924,19,65,0,89120.0
62,4,6,2,5,8,397,17,78,1,44124.0
47,1,5,7,9,2,2089,22,49,0,81169.0
9,4,3,1,3,8,138,11,63,2,36443.0
77,1,1,0,3,7,42,5,34,1,26095.0
24,1,4,5,7,2,777,17,65,0,71367.0
19,1,6,3,10,3,1902,20,80,0,80184.0
67,2,2,0,3,7,52,7,59,2,30630.0
95,1,2,4,6,5,1651,13,37,0,73454.0
48,1,5,1,6,5,358,13,33,0,42691.0
73,1,2,4,9,6,1727,16,71,0,70503.0
35,3,2,2,3,6,210,10,37,1,25545.0
76,1,1,0,3,8,42,5,38,1,32880.0
20,1,4,5,10,2,1291,20,66,0,77863.0
72,1,4,4,6,3,442,15,47,0,50353.0
20,1,4,8,4,8,1895,17,60,0,61839.0
69,6,4,1,8,6,411,19,64,2,49154.0
80,4,4,3,8,5,521,19,49,1,47682.0
65,1,4,7,5,1,1168,17,55,1,72679.0
52,7,8,2,6,7,493,23,47,2,57954.0
65,2,3,2,5,4,260,12,62,2,65316.0
57,2,2,0,3,6,46,7,42,1,28567.0
70,4,6,1,5,7,319,16,73,1,47352.0
0,1,2,1,3,5,96,7,57,1,44931.0
19,1,8,3,4,4,1062,16,57,0,76982.0
50,2,2,1,7,2,232,12,72,1,57247.0
67,3,3,0,3,7,76,9,43,1,22944.0
46,3,3,0,3,8,54,9,47,1,25315.0
37,2,4,1,4,7,201,11,55,1,43638.0
38,2,4,5,3,6,406,14,40,1,42710.0
9,1,7,6,6,3,1919,20,42,0,84169.0
56,2,4,6,8,3,662,20,48,1,54058.0
98,2,2,0,4,5,41,8,34,1,24683.0
68,1,3,6,4,1,1600,14,60,0,85620.0
72,1,3,0,4,6,134,8,44,1,47850.0
47,4,3,1,2,8,69,10,56,2,19514.0
33,2,1,0,3,6,21,6,51,2,27159.0
87,2,1,1,3,3,54,7,61,2,39548.0
0,2,3,1,2,7,91,8,35,1,21474.0
73,2,6,2,8,6,526,18,53,1,60504.0
74,1,3,2,2,8,162,8,61,0,22419.0
4,1,3,8,13,1,1008,25,75,0,81698.0
